Run,Day,AvgSleepDuration,AvgNightSMUse
1,1,7.459172804528828,0.7772567874464457
1,2,7.434929332778487,0.7522558011865715
1,3,7.506740757024866,0.7336252410231645
1,4,7.490335512104823,0.7446423794508058
1,5,7.498335651146415,0.7327963040300842
1,6,7.280592361702044,1.0217427190091413
1,7,7.249137788005364,1.040568608087156
1,8,7.449361833235669,0.7474381304902117
1,9,7.487650890262816,0.7438347697543289
1,10,7.506086465883652,0.7255381890498586
1,11,7.474340270599093,0.7432816494929436
1,12,7.454697037590911,0.7303264915007646
1,13,7.276322885838234,1.052627893913051
1,14,7.258939299529825,1.0579169891974454
1,15,7.460640711881324,0.7522683848663673
1,16,7.48844552299508,0.73628307261553
1,17,7.514000707660848,0.72437387291465
1,18,7.508479032760192,0.7132476257279668
1,19,7.514890990179192,0.7400667579524365
1,20,7.27936599372521,1.019909940242262
1,21,7.243784825782205,1.0536488192683404
1,22,7.449498288632452,0.7538038318528174
1,23,7.502370176341978,0.710576167931308
1,24,7.487287315581718,0.7317233441453908
1,25,7.457437140091596,0.7223285099932221
1,26,7.533694441163575,0.7246386102684583
1,27,7.324777300619337,1.0284724222147696
1,28,7.238174993702805,1.0757052078122886
1,29,7.460178610584496,0.7598165376277203
1,30,7.502498041428084,0.731422164202233
2,1,7.443839838481784,0.8155840552264019
2,2,7.464377046426396,0.7972127828501647
2,3,7.421809300118863,0.8052522432575691
2,4,7.428891592875011,0.8098292668214939
2,5,7.453403952856603,0.7947479218746861
2,6,7.232635436175177,1.1020670993809338
2,7,7.236899967748992,1.1410235436273615
2,8,7.456480740493939,0.8128646153682402
2,9,7.454319658408335,0.8135414050054081
2,10,7.422157507870639,0.8156506320927102
2,11,7.439908357125853,0.8001531528272199
2,12,7.424744619851514,0.7958211706754161
2,13,7.2062047219222265,1.1054001175411967
2,14,7.179199065191852,1.1541997842098808
2,15,7.414910602078183,0.8216584130131492
2,16,7.486085612450287,0.7684287273995726
2,17,7.438776824380702,0.7955242050076481
2,18,7.416342398246212,0.7929757367006743
2,19,7.446033822366349,0.8031441829476512
2,20,7.2350439320651825,1.1062877973397403
2,21,7.181033144126961,1.1434398406105886
2,22,7.419154010893601,0.8435007275605905
2,23,7.44025196023608,0.8018706097694374
2,24,7.454303407688915,0.8082528305955864
