,agentid,friendid,weight
0,1,2,0.75
1,1,3,0.25
2,1,4,0.25
3,1,5,0.25
4,1,6,0.25
5,1,7,0.25
6,1,8,0.25
7,1,9,0.25
8,2,3,0.25
9,2,4,0.25
10,2,5,0.25
11,2,6,0.5
12,2,9,0.5
13,2,1,0.25
14,3,2,0.5
15,3,4,0.25
16,3,6,0.25
17,4,2,1
18,4,3,0.25
19,4,5,1
20,4,6,0.75
21,4,7,0.75
22,4,8,0.25
23,4,9,0.25
24,4,1,0.75
25,5,2,0.75
26,5,6,0.5
27,5,7,0.25
28,5,9,0.25
29,6,2,0.75
30,6,4,0.5
31,6,5,0.25
32,6,7,0.5
33,6,8,0.25
34,6,1,0.5
35,7,2,0.25
36,7,4,0.25
37,7,5,0.25
38,7,6,0.25
39,7,8,0.25
40,7,1,0.5
41,8,2,0.25
42,8,9,0.25
43,9,2,0.25
